Class No.,Date,Topic,Helper1,Helper2
00,sep-08 tues,Imagine Day -- No Class,NA,NA
01,sep-10 thurs,Intro to course and R,,
02,sep-15 tues,git and GitHub,,
03,sep-17 thurs,R Markdown & Reproducibility,,
04,sep-22 tues,Data wrangling part I,,
05,sep-24 thurs,Plotting part I,,
06,sep-29 tues,Data Wrangling part II,,
07,oct-01 thurs,Plotting part II,,
08,oct-06 tues,Tidy data and pivoting,,
09,oct-08 thurs,Special data types: dates and factors,,
10,oct-13 tues,Two-table joins,,
11,oct-15 thurs,The model-fitting paradigm in R,,
12,oct-20 tues,File input/output,,
13,oct-22 thurs,Choose your own adventure,,
