"Your_github","Instructions"
"acheng-ubc","Please review the hw08 submission of [Kate96](https://github.com/STAT545-UBC-students/hw08-Kate96) and [g-ziyan](https://github.com/STAT545-UBC-students/hw08-g-ziyan)."
"aidanh14","Please review the hw08 submission of [garyzhubc](https://github.com/STAT545-UBC-students/hw08-garyzhubc) and [liuyadong08](https://github.com/STAT545-UBC-students/hw08-liuyadong08)."
"aleurcelay","Please review the hw08 submission of [rgryba](https://github.com/STAT545-UBC-students/hw08-rgryba) and [lh563](https://github.com/STAT545-UBC-students/hw08-lh563)."
"alvin-q","Please review the hw08 submission of [Caroline-Seip](https://github.com/STAT545-UBC-students/hw08-Caroline-Seip) and [RyanGao67](https://github.com/STAT545-UBC-students/hw08-RyanGao67)."
"bassamjaved","Please review the hw08 submission of [ecool50](https://github.com/STAT545-UBC-students/hw08-ecool50) and [MaunishUBC](https://github.com/STAT545-UBC-students/hw08-MaunishUBC)."
"Bill1111","Please review the hw08 submission of [tsmith93](https://github.com/STAT545-UBC-students/hw08-tsmith93) and [QinxinLin](https://github.com/STAT545-UBC-students/hw08-QinxinLin)."
"Caroline-Seip","Please review the hw08 submission of [RyanGao67](https://github.com/STAT545-UBC-students/hw08-RyanGao67) and [rasiimwe](https://github.com/STAT545-UBC-students/hw08-rasiimwe)."
"CeciliaLe07","Please review the hw08 submission of [j-schaub](https://github.com/STAT545-UBC-students/hw08-j-schaub) and [fjbasedow](https://github.com/STAT545-UBC-students/hw08-fjbasedow)."
"chenchenguo","Please review the hw08 submission of [curtis77](https://github.com/STAT545-UBC-students/hw08-curtis77) and [CeciliaLe07](https://github.com/STAT545-UBC-students/hw08-CeciliaLe07)."
"curtis77","Please review the hw08 submission of [CeciliaLe07](https://github.com/STAT545-UBC-students/hw08-CeciliaLe07) and [j-schaub](https://github.com/STAT545-UBC-students/hw08-j-schaub)."
"divita95","Please review the hw08 submission of [liming17](https://github.com/STAT545-UBC-students/hw08-liming17) and [YuHsiangLo](https://github.com/STAT545-UBC-students/hw08-YuHsiangLo)."
"ecool50","Please review the hw08 submission of [MaunishUBC](https://github.com/STAT545-UBC-students/hw08-MaunishUBC) and [patriciata](https://github.com/STAT545-UBC-students/hw08-patriciata)."
"emreerhan","Please review the hw08 submission of [iyaniwura](https://github.com/STAT545-UBC-students/hw08-iyaniwura) and [slumnitz](https://github.com/STAT545-UBC-students/hw08-slumnitz)."
"figalit","Please review the hw08 submission of [lsloboda](https://github.com/STAT545-UBC-students/hw08-lsloboda) and [janehuang1647](https://github.com/STAT545-UBC-students/hw08-janehuang1647)."
"fjbasedow","Please review the hw08 submission of [zeeva85](https://github.com/STAT545-UBC-students/hw08-zeeva85) and [zjbthomas](https://github.com/STAT545-UBC-students/hw08-zjbthomas)."
"funkedavid82","Please review the hw08 submission of [JasmineLib](https://github.com/STAT545-UBC-students/hw08-JasmineLib) and [acheng-ubc](https://github.com/STAT545-UBC-students/hw08-acheng-ubc)."
"g-ziyan","Please review the hw08 submission of [aleurcelay](https://github.com/STAT545-UBC-students/hw08-aleurcelay) and [rgryba](https://github.com/STAT545-UBC-students/hw08-rgryba)."
"garyzhubc","Please review the hw08 submission of [liuyadong08](https://github.com/STAT545-UBC-students/hw08-liuyadong08) and [schignel](https://github.com/STAT545-UBC-students/hw08-schignel)."
"Irissq28","Please review the hw08 submission of [aidanh14](https://github.com/STAT545-UBC-students/hw08-aidanh14) and [garyzhubc](https://github.com/STAT545-UBC-students/hw08-garyzhubc)."
"iyaniwura","Please review the hw08 submission of [slumnitz](https://github.com/STAT545-UBC-students/hw08-slumnitz) and [yavyx](https://github.com/STAT545-UBC-students/hw08-yavyx)."
"j-schaub","Please review the hw08 submission of [fjbasedow](https://github.com/STAT545-UBC-students/hw08-fjbasedow) and [zeeva85](https://github.com/STAT545-UBC-students/hw08-zeeva85)."
"janehuang1647","Please review the hw08 submission of [meiqiyu](https://github.com/STAT545-UBC-students/hw08-meiqiyu) and [emreerhan](https://github.com/STAT545-UBC-students/hw08-emreerhan)."
"JasmineLib","Please review the hw08 submission of [acheng-ubc](https://github.com/STAT545-UBC-students/hw08-acheng-ubc) and [Kate96](https://github.com/STAT545-UBC-students/hw08-Kate96)."
"Kate96","Please review the hw08 submission of [g-ziyan](https://github.com/STAT545-UBC-students/hw08-g-ziyan) and [aleurcelay](https://github.com/STAT545-UBC-students/hw08-aleurcelay)."
"katiezinn","Please review the hw08 submission of [ziqiangt](https://github.com/STAT545-UBC-students/hw08-ziqiangt) and [zhamadeh](https://github.com/STAT545-UBC-students/hw08-zhamadeh)."
"lh563","Please review the hw08 submission of [Mengsuper](https://github.com/STAT545-UBC-students/hw08-Mengsuper) and [tanvimittal71](https://github.com/STAT545-UBC-students/hw08-tanvimittal71)."
"liao02x","Please review the hw08 submission of [yihaoz](https://github.com/STAT545-UBC-students/hw08-yihaoz) and [MielleM](https://github.com/STAT545-UBC-students/hw08-MielleM)."
"liming17","Please review the hw08 submission of [YuHsiangLo](https://github.com/STAT545-UBC-students/hw08-YuHsiangLo) and [liao02x](https://github.com/STAT545-UBC-students/hw08-liao02x)."
"liuyadong08","Please review the hw08 submission of [schignel](https://github.com/STAT545-UBC-students/hw08-schignel) and [Sukeysun](https://github.com/STAT545-UBC-students/hw08-Sukeysun)."
"lsloboda","Please review the hw08 submission of [janehuang1647](https://github.com/STAT545-UBC-students/hw08-janehuang1647) and [meiqiyu](https://github.com/STAT545-UBC-students/hw08-meiqiyu)."
"MalcolmNSB","Please review the hw08 submission of [alvin-q](https://github.com/STAT545-UBC-students/hw08-alvin-q) and [Caroline-Seip](https://github.com/STAT545-UBC-students/hw08-Caroline-Seip)."
