"Your_github","Instructions"
"acheng-ubc","Please review the hw07 submission of [lsloboda](https://github.com/STAT545-UBC-students/hw07-lsloboda) and [j-schaub](https://github.com/STAT545-UBC-students/hw07-j-schaub)."
"aidanh14","Please review the hw07 submission of [QinxinLin](https://github.com/STAT545-UBC-students/hw07-QinxinLin) and [ShreeramSenthi](https://github.com/STAT545-UBC-students/hw07-ShreeramSenthi)."
"aleurcelay","Please review the hw07 submission of [zjbthomas](https://github.com/STAT545-UBC-students/hw07-zjbthomas) and [Sukeysun](https://github.com/STAT545-UBC-students/hw07-Sukeysun)."
"alvin-q","Please review the hw07 submission of [yukirang](https://github.com/STAT545-UBC-students/hw07-yukirang) and [rachlobay](https://github.com/STAT545-UBC-students/hw07-rachlobay)."
"bassamjaved","Please review the hw07 submission of [RyanGao67](https://github.com/STAT545-UBC-students/hw07-RyanGao67) and [liao02x](https://github.com/STAT545-UBC-students/hw07-liao02x)."
"Bill1111","Please review the hw07 submission of [yihaoz](https://github.com/STAT545-UBC-students/hw07-yihaoz) and [iyaniwura](https://github.com/STAT545-UBC-students/hw07-iyaniwura)."
"Caroline-Seip","Please review the hw07 submission of [aleurcelay](https://github.com/STAT545-UBC-students/hw07-aleurcelay) and [zjbthomas](https://github.com/STAT545-UBC-students/hw07-zjbthomas)."
"CeciliaLe07","Please review the hw07 submission of [liuyadong08](https://github.com/STAT545-UBC-students/hw07-liuyadong08) and [g-ziyan](https://github.com/STAT545-UBC-students/hw07-g-ziyan)."
"chenchenguo","Please review the hw07 submission of [zeeva85](https://github.com/STAT545-UBC-students/hw07-zeeva85) and [alvin-q](https://github.com/STAT545-UBC-students/hw07-alvin-q)."
"curtis77","Please review the hw07 submission of [katiezinn](https://github.com/STAT545-UBC-students/hw07-katiezinn) and [MielleM](https://github.com/STAT545-UBC-students/hw07-MielleM)."
"divita95","Please review the hw07 submission of [patriciata](https://github.com/STAT545-UBC-students/hw07-patriciata) and [zhamadeh](https://github.com/STAT545-UBC-students/hw07-zhamadeh)."
"ecool50","Please review the hw07 submission of [MalcolmNSB](https://github.com/STAT545-UBC-students/hw07-MalcolmNSB) and [CeciliaLe07](https://github.com/STAT545-UBC-students/hw07-CeciliaLe07)."
"emreerhan","Please review the hw07 submission of [Bill1111](https://github.com/STAT545-UBC-students/hw07-Bill1111) and [yihaoz](https://github.com/STAT545-UBC-students/hw07-yihaoz)."
"figalit","Please review the hw07 submission of [lh563](https://github.com/STAT545-UBC-students/hw07-lh563) and [funkedavid82](https://github.com/STAT545-UBC-students/hw07-funkedavid82)."
"fjbasedow","Please review the hw07 submission of [figalit](https://github.com/STAT545-UBC-students/hw07-figalit) and [lh563](https://github.com/STAT545-UBC-students/hw07-lh563)."
"funkedavid82","Please review the hw07 submission of [liming17](https://github.com/STAT545-UBC-students/hw07-liming17) and [curtis77](https://github.com/STAT545-UBC-students/hw07-curtis77)."
"g-ziyan","Please review the hw07 submission of [rning-wu](https://github.com/STAT545-UBC-students/hw07-rning-wu) and [ziqiangt](https://github.com/STAT545-UBC-students/hw07-ziqiangt)."
"garyzhubc","Please review the hw07 submission of [tsmith93](https://github.com/STAT545-UBC-students/hw07-tsmith93) and [acheng-ubc](https://github.com/STAT545-UBC-students/hw07-acheng-ubc)."
"Irissq28","Please review the hw07 submission of [yavyx](https://github.com/STAT545-UBC-students/hw07-yavyx) and [divita95](https://github.com/STAT545-UBC-students/hw07-divita95)."
"iyaniwura","Please review the hw07 submission of [fjbasedow](https://github.com/STAT545-UBC-students/hw07-fjbasedow) and [figalit](https://github.com/STAT545-UBC-students/hw07-figalit)."
"j-schaub","Please review the hw07 submission of [aidanh14](https://github.com/STAT545-UBC-students/hw07-aidanh14) and [QinxinLin](https://github.com/STAT545-UBC-students/hw07-QinxinLin)."
"janehuang1647","Please review the hw07 submission of [Caroline-Seip](https://github.com/STAT545-UBC-students/hw07-Caroline-Seip) and [aleurcelay](https://github.com/STAT545-UBC-students/hw07-aleurcelay)."
"JasmineLib","Please review the hw07 submission of [rgryba](https://github.com/STAT545-UBC-students/hw07-rgryba) and [janehuang1647](https://github.com/STAT545-UBC-students/hw07-janehuang1647)."
"Kate96","Please review the hw07 submission of [YuHsiangLo](https://github.com/STAT545-UBC-students/hw07-YuHsiangLo) and [ecool50](https://github.com/STAT545-UBC-students/hw07-ecool50)."
"katiezinn","Please review the hw07 submission of [MielleM](https://github.com/STAT545-UBC-students/hw07-MielleM) and [chenchenguo](https://github.com/STAT545-UBC-students/hw07-chenchenguo)."
"lh563","Please review the hw07 submission of [funkedavid82](https://github.com/STAT545-UBC-students/hw07-funkedavid82) and [liming17](https://github.com/STAT545-UBC-students/hw07-liming17)."
"liao02x","Please review the hw07 submission of [Irissq28](https://github.com/STAT545-UBC-students/hw07-Irissq28) and [yavyx](https://github.com/STAT545-UBC-students/hw07-yavyx)."
"liming17","Please review the hw07 submission of [curtis77](https://github.com/STAT545-UBC-students/hw07-curtis77) and [katiezinn](https://github.com/STAT545-UBC-students/hw07-katiezinn)."
"liuyadong08","Please review the hw07 submission of [g-ziyan](https://github.com/STAT545-UBC-students/hw07-g-ziyan) and [rning-wu](https://github.com/STAT545-UBC-students/hw07-rning-wu)."
"lsloboda","Please review the hw07 submission of [j-schaub](https://github.com/STAT545-UBC-students/hw07-j-schaub) and [aidanh14](https://github.com/STAT545-UBC-students/hw07-aidanh14)."
"MalcolmNSB","Please review the hw07 submission of [CeciliaLe07](https://github.com/STAT545-UBC-students/hw07-CeciliaLe07) and [liuyadong08](https://github.com/STAT545-UBC-students/hw07-liuyadong08)."
"MaunishUBC","Please review the hw07 submission of [schignel](https://github.com/STAT545-UBC-students/hw07-schignel) and [garyzhubc](https://github.com/STAT545-UBC-students/hw07-garyzhubc)."
"meiqiyu","Please review the hw07 submission of [bassamjaved](https://github.com/STAT545-UBC-students/hw07-bassamjaved) and [RyanGao67](https://github.com/STAT545-UBC-students/hw07-RyanGao67)."
"Mengsuper","Please review the hw07 submission of [meiqiyu](https://github.com/STAT545-UBC-students/hw07-meiqiyu) and [bassamjaved](https://github.com/STAT545-UBC-students/hw07-bassamjaved)."
"MielleM","Please review the hw07 submission of [chenchenguo](https://github.com/STAT545-UBC-students/hw07-chenchenguo) and [zeeva85](https://github.com/STAT545-UBC-students/hw07-zeeva85)."
"patriciata","Please review the hw07 submission of [zhamadeh](https://github.com/STAT545-UBC-students/hw07-zhamadeh) and [emreerhan](https://github.com/STAT545-UBC-students/hw07-emreerhan)."
"QinxinLin","Please review the hw07 submission of [ShreeramSenthi](https://github.com/STAT545-UBC-students/hw07-ShreeramSenthi) and [tanvimittal71](https://github.com/STAT545-UBC-students/hw07-tanvimittal71)."
"rachlobay","Please review the hw07 submission of [Kate96](https://github.com/STAT545-UBC-students/hw07-Kate96) and [YuHsiangLo](https://github.com/STAT545-UBC-students/hw07-YuHsiangLo)."
"rasiimwe","Please review the hw07 submission of [slumnitz](https://github.com/STAT545-UBC-students/hw07-slumnitz) and [Mengsuper](https://github.com/STAT545-UBC-students/hw07-Mengsuper)."
"rgryba","Please review the hw07 submission of [janehuang1647](https://github.com/STAT545-UBC-students/hw07-janehuang1647) and [Caroline-Seip](https://github.com/STAT545-UBC-students/hw07-Caroline-Seip)."
"rning-wu","Please review the hw07 submission of [ziqiangt](https://github.com/STAT545-UBC-students/hw07-ziqiangt) and [JasmineLib](https://github.com/STAT545-UBC-students/hw07-JasmineLib)."
"RyanGao67","Please review the hw07 submission of [liao02x](https://github.com/STAT545-UBC-students/hw07-liao02x) and [Irissq28](https://github.com/STAT545-UBC-students/hw07-Irissq28)."
"schignel","Please review the hw07 submission of [garyzhubc](https://github.com/STAT545-UBC-students/hw07-garyzhubc) and [tsmith93](https://github.com/STAT545-UBC-students/hw07-tsmith93)."
"ShreeramSenthi","Please review the hw07 submission of [tanvimittal71](https://github.com/STAT545-UBC-students/hw07-tanvimittal71) and [rasiimwe](https://github.com/STAT545-UBC-students/hw07-rasiimwe)."
"slumnitz","Please review the hw07 submission of [Mengsuper](https://github.com/STAT545-UBC-students/hw07-Mengsuper) and [meiqiyu](https://github.com/STAT545-UBC-students/hw07-meiqiyu)."
"Sukeysun","Please review the hw07 submission of [MaunishUBC](https://github.com/STAT545-UBC-students/hw07-MaunishUBC) and [schignel](https://github.com/STAT545-UBC-students/hw07-schignel)."
"tanvimittal71","Please review the hw07 submission of [rasiimwe](https://github.com/STAT545-UBC-students/hw07-rasiimwe) and [slumnitz](https://github.com/STAT545-UBC-students/hw07-slumnitz)."
"tsmith93","Please review the hw07 submission of [acheng-ubc](https://github.com/STAT545-UBC-students/hw07-acheng-ubc) and [lsloboda](https://github.com/STAT545-UBC-students/hw07-lsloboda)."
"yavyx","Please review the hw07 submission of [divita95](https://github.com/STAT545-UBC-students/hw07-divita95) and [patriciata](https://github.com/STAT545-UBC-students/hw07-patriciata)."
"yihaoz","Please review the hw07 submission of [iyaniwura](https://github.com/STAT545-UBC-students/hw07-iyaniwura) and [fjbasedow](https://github.com/STAT545-UBC-students/hw07-fjbasedow)."
"YuHsiangLo","Please review the hw07 submission of [ecool50](https://github.com/STAT545-UBC-students/hw07-ecool50) and [MalcolmNSB](https://github.com/STAT545-UBC-students/hw07-MalcolmNSB)."
"yukirang","Please review the hw07 submission of [rachlobay](https://github.com/STAT545-UBC-students/hw07-rachlobay) and [Kate96](https://github.com/STAT545-UBC-students/hw07-Kate96)."
"zeeva85","Please review the hw07 submission of [alvin-q](https://github.com/STAT545-UBC-students/hw07-alvin-q) and [yukirang](https://github.com/STAT545-UBC-students/hw07-yukirang)."
"zhamadeh","Please review the hw07 submission of [emreerhan](https://github.com/STAT545-UBC-students/hw07-emreerhan) and [Bill1111](https://github.com/STAT545-UBC-students/hw07-Bill1111)."
"ziqiangt","Please review the hw07 submission of [JasmineLib](https://github.com/STAT545-UBC-students/hw07-JasmineLib) and [rgryba](https://github.com/STAT545-UBC-students/hw07-rgryba)."
"zjbthomas","Please review the hw07 submission of [Sukeysun](https://github.com/STAT545-UBC-students/hw07-Sukeysun) and [MaunishUBC](https://github.com/STAT545-UBC-students/hw07-MaunishUBC)."
